Anyone can do that.	任何人都可以做到。
I went to sleep about 10 o'clock.	我在10點左右去睡覺。
I went to a park this morning.	今天早上我去了公園。
What's your name?	您叫什麼名字？
Are you afraid of Tom?	你會怕Tom嗎？
We have less than five minutes to evacuate the whole building.	我們有不到五分鐘來疏散整棟樓的人。
She has a real knack for getting people to do what she wants.	她真的有本事讓別人做她想做的事。
Talking during a concert is rude.	在音樂會中說話是不禮貌的。
You can hold my hand.	你能握我的手。
He will arrive in Paris tomorrow.	他明天將抵達巴黎。
This conference is very important. Don't miss it.	這場會議很重要，不要錯過了！
Her success made her the target of jealousy.	她的成功讓她成爲嫉妒心的靶子。
He plays the guitar very well.	他吉他彈得很好。
I am disgusted with him.	我厭惡他。
It is a pity that you cannot come to the party.	很遺憾您不能來派對。
You should quit smoking.	你應該戒菸。
What is learned in the cradle is carried to the tomb.	幼年時學的東西，一輩子不會忘記。
He's eating an apple.	他正吃著一個蘋果。
She is always losing her handkerchief.	她老是弄丟她的手帕。
Please return the book by tomorrow.	請明天前還書。
I'm proud of you.	我以你為榮。
She spends her leisure time making dolls.	她利用空閒時間做布娃娃。
Many kinds of birds live in Japan.	許多種鳥類住在日本。
I wrote a letter to my mother.	我寫了一封信給我的母親。
You and I have the same idea.	你和我有相同的想法。
She should have been more careful.	她本來應該更小心的。
I hope everything goes well.	我希望萬事如意。
I wish I could talk to you.	我希望能與你談話。
I would rather not go there alone.	我寧可不要單獨去那裡。
You talk too much.	你說太多了。
You must keep your eyes open.	你得留意一下。
Nobody tried to help Tom.	沒人試圖幫湯姆。
You two should get married.	你們兩個應該結婚。
Tom is probably pretty rich by now.	湯姆現在可能很有錢。
How many does he want?	他要多少?
Thank you for drawing a bird for me.	謝謝你為我畫鳥。
I'm looking for a part-time job.	我正在找一份兼職的工作。
I can read German, but I can't speak it.	我能看懂德語，但不會說。
Something must be wrong with the machinery.	這個機器一定有什麼地方不對勁。
I want beef, too.	"我也要牛肉。"
I'd rather stay than go.	我寧願待在這裡而不去。
I had a tennis match with him.	我曾與他的比賽網球。
He's a comedian.	他是喜劇演員。
India is a developing country.	印度是發展中國家。
He is old enough to drive.	他夠開車的年紀了。
I arrived in London.	我到達倫敦了。
I saw five men.	我看到了五個男人。
I got up early in the morning.	我早上很早起牀。
I hate chemistry.	我討厭化學。
May I ask you some more questions?	我可以問你一些問題嗎？
I don't understand.	不明白。
May I say something?	我可以說些什麼嗎?
What is this?	這是什麼啊？
I am going to Hawaii next year.	我明年要去夏威夷。
Don't throw rocks into the river.	不要往河裡扔石頭。
I've had enough of your lying.	我聽夠你的謊話了。
We had an early lunch at school.	我們在學校有一個早午餐。
The road is too narrow for cars.	這條路太窄汽車無法通行。
I do not agree with you at all.	我完全不贊成你的意見。
Are you saying you don't want to go to Tom's party?	你的意思是你不想去湯姆的派對？
Tom knew when Mary would be arriving.	湯姆知道瑪麗什麼時候來。
Pride goes before a fall.	驕傲使人落後。
Why did you turn down his offer?	你為什麼拒絕了他的提議？
Japan is a rich country.	日本是個富有的國家。
I can't stand that noise.	我不能忍受那個噪音。
You'd better go.	你最好走。
Turn off the TV.	關閉電視機
I don't want to work.	他不愛勞動。
I hope to see you.	我希望能見到你。
Tom got a late start this morning.	湯姆今早出發晚了。
He is not from Hokkaido.	他不是來自北海道。
What subjects are you taking at school?	你在學校裡讀哪些科目?
Get Tom.	找到湯姆。
What is the total amount of money you spent?	你一共花了多少錢？
He likes taking care of the garden.	他喜歡照顧花園。
Her red dress made her stand out.	她的紅色禮服使她引人注目。
At last, she solved the problem.	最後，她解決了這個問題。
He made many excuses for being late.	他為遲到找了很多的藉口。
Will you all be here tomorrow?	明天你一整天都會在這裡嗎?
She gives me a nasty look every time she sees me.	她每次看見我都給露出厭惡的眼神。
Close the door when you leave.	出去的時候把門關上。
They passed by her house yesterday.	他們昨天路過她家。
Excuse me, I'm lost.	不好意思，我迷路了。
This is what I can do for you.	這是我能爲您做的。
We gladly accept your offer.	我們很高興接受你的提議。
I want to drink something cold.	我想喝冷飲。
You look tired.	你看起來很疲倦。
I'll go shopping tomorrow.	我明天要去購物。
I would like to know her name.	我想知道她的名字。
My father has five siblings.	我父親有五個兄弟姐妹。
She glanced briefly at the newspaper.	她很快地瞟了一眼報紙。
The parking lot is free of charge.	停車場是免費的。
I will pick you up around six.	我會在六點鐘左右接你。
We don't have any other choice.	我們別無選擇。
The sun rose over the horizon.	太陽升出了地平線。
Do you feel tired?	你覺得累嗎？
A green carpet will not go with this blue curtain.	綠色的毯子和這條藍色的簾子不配。
Maybe you'll succeed.	也許你會成功。
I feel very sorry for your sister.	我對你姐姐感到非常遺憾。
That red dress suited her.	那件紅色的洋裝適合她。
You need a car if you live in the suburbs.	要住在郊區的話，汽車是必需的。
How come you didn't say anything?	你為什麼都不說話?
I meet him at the club.	我在俱樂部見到他。
Today was fun.	今天很有趣。
I don't know how to go there.	我不知道怎麼去那兒。
Give us two knives and four forks, please.	請給我們兩把刀和四把叉。
She made him a new suit.	她為他做了一套新衣服。
I want to see your older sister.	我想見你姐姐。
Her argument was not based on facts.	她的觀點沒有基於事實。
The cost of living has risen.	生活費升高了。
Don't show your face around here again.	你不要再出現在這裡了。
I want you to stay here until I get back.	我想你待在這裏直到我回來。
Do you know what I mean?	你知道我的意思嗎？
The accident's only survivor was a baby.	這場災難的唯一倖存者是一個嬰兒。
It's just what I wanted.	我想要的就是這個。
How about playing chess tonight?	今晚下棋怎麼樣？
Actions speak louder than words.	行動勝於雄辯。
Tom is waiting for everyone to leave.	湯姆等着每個人都離開。
I don't mind hot weather.	我不在乎炎熱的天氣。
He is always losing his umbrella.	他總是搞丟了他的傘。
My birthday falls on Sunday.	我的生日在星期日。
He plays baseball every day.	他每天都打壘球。
Hokkaido is very far, isn't it?	北海道很遠，不是嗎？
She's neither rich nor famous.	她既沒錢，也不出名。
I went skiing at Zao last winter.	我去年冬天去藏王滑雪。
Please show me the menu.	請給我菜單。
Give it to them.	把它給他們。
I can't stand this heat.	我受不了這麼熱。
Does this bus go to the beach?	這輛公車去海灘嗎？
Please show me around.	請帶我到處看看。
Take as many peaches as you like.	你想拿多少桃子就拿多少。
I heard the song sung in French.	我聽過這首歌的法語版。
She's absent because she's sick.	她不在是因爲病了。
The problem was very difficult.	這個問題非常困難。
I live in this neighborhood.	我住在這附近。
You're a real friend.	你是個真正的朋友。
The robot went out of control.	這個機器人失控了。
If it happened to Tom, it could happen to you.	如果那發生在Tom身上，也可能會發生在你身上。
He goes to school on foot.	他步行上學。
I just talked to the person in charge.	我剛跟主管人談過。
He's an excellent brain surgeon.	他是一個優秀的腦外科醫生。
Under no circumstances must you leave the room.	在任何情況下你都不能離開這個房間。
Please call me up between seven and eight.	請在7點到8點鐘之間打電話給我。
They became friends in elementary school.	他們在小學時就是朋友了。
They live across the river.	他們住在河對面。
He is alone.	他獨自一人。
He is always at home on Mondays.	他星期一總是在家。
Give me some milk, too.	也給我一些牛奶。
He made friends with her in America.	他與她在美國成為朋友。
Are you planning to take part in the meeting?	你們準備參加會議嗎？
I'm sure that it'll be fun.	我確定它將會很有趣
You should pay more attention to his warnings.	你應該多注意他的警告。
